Address,Lat,Long,Type,Bed,Bath,Parking,Bond,Price
"1713/25 Therry Street, Melbourne VIC 3000",-37.807395832826614,144.95893747307127,Apartment/Unit/Flat,2,1,1,3259.0,750.0
"114/318 Little Bourke Street, Melbourne VIC 3000",-37.8129338,144.9631368,Apartment/Unit/Flat,1,1,0,2281.0,525.0
"3508/200 Spencer Street, Melbourne VIC 3000",-37.8162806,144.95328817518583,Apartment/Unit/Flat,1,1,1,2520.0,580.0
"909/422 Collins Street, Melbourne VIC 3000",-37.81679715,144.9600304018269,Apartment/Unit/Flat,1,1,0,1825.0,420.0
"1306/243 Franklin Street, Melbourne VIC 3000",-37.8096786,144.95679070779016,Apartment/Unit/Flat,1,1,0,2607.0,600.0
"103/18 Russell Place, Melbourne VIC 3000",-37.81359117993339,144.96729599393132,Apartment/Unit/Flat,1,1,0,2607.0,600.0
"2106/27 Little Collins Street, Melbourne VIC 3000",-37.81595878145752,144.96109922714388,Apartment/Unit/Flat,2,2,0,3042.0,700.0
"1607/27 Little Collins Street, Melbourne VIC 3000",-37.81595878145752,144.96109922714388,Apartment/Unit/Flat,1,1,0,2608.0,600.0
"713/218 A'beckett Street, Melbourne VIC 3000",-37.8102739,144.9566561,Apartment/Unit/Flat,2,1,1,3129.0,720.0
"3601/442 Elizabeth Street, Melbourne VIC 3000",-37.803263722458475,144.9581722024521,Apartment/Unit/Flat,2,1,0,2824.0,650.0
"3212/22-24 Jane Bell Lane, Melbourne VIC 3000",-37.8103416,144.9655365,Apartment/Unit/Flat,1,1,1,2390.0,550.0
"2310/87 Franklin Street, Melbourne VIC 3000",-37.808152199999995,144.961773021159,Apartment/Unit/Flat,2,1,1,3042.0,700.0
"1001/228 La Trobe St, Melbourne VIC 3000",-37.80976,144.9624754,Apartment/Unit/Flat,1,1,0,2694.0,620.0
"1303/555 Flinders Street, Melbourne VIC 3000",-37.82096345,144.9564841079254,Apartment/Unit/Flat,1,1,0,2107.0,485.0
"1503/325 Collins Street, Melbourne VIC 3000",-37.816861450000005,144.96352997995314,Apartment/Unit/Flat,1,1,0,2250.0,580.0
"1206/118 Russell Street, Melbourne VIC 3000",-37.8136078,144.9686931,Apartment/Unit/Flat,2,1,0,2825.0,650.0
"1407/325 Collins Street, Melbourne VIC 3000",-37.816861450000005,144.96352997995314,Apartment/Unit/Flat,1,1,0,2064.0,475.0
"1610S/220 Spencer St, Melbourne VIC 3000",-37.8156633,144.953010011169,Apartment/Unit/Flat,2,1,0,2998.0,690.0
"1003/172 William Street, Melbourne VIC 3000",-37.815065,144.9581426,Apartment/Unit/Flat,1,1,0,2107.0,485.0
"503/118 Franklin Street, Melbourne VIC 3000",-37.8084339537898,144.9592549861561,Apartment/Unit/Flat,1,1,0,2151.0,495.0
"1013/555 Flinders Street, Melbourne VIC 3000",-37.82096345,144.9564841079254,Apartment/Unit/Flat,1,1,1,2716.0,625.0
"606/250 Elizabeth Street, Melbourne VIC 3000",-37.8124101,144.9625534,Apartment/Unit/Flat,1,1,0,2390.0,550.0
"901/29 Market Street, Melbourne VIC 3000",-37.81878749829626,144.96079787602736,Apartment/Unit/Flat,2,2,0,3693.0,850.0
"910/68 La Trobe Street, Melbourne VIC 3000",-37.8120866578597,144.9553966476117,Apartment/Unit/Flat,2,1,1,2825.0,650.0
"207/399 Bourke Street, Melbourne VIC 3000",-37.8147476,144.9620601,Apartment/Unit/Flat,1,1,0,2100.0,525.0
"2208/35 Spring St, Melbourne VIC 3000",-37.80912053886953,144.97209817287765,Apartment/Unit/Flat,1,1,0,,780.0
"1405/2 Albert Road, Melbourne VIC 3000",-37.83306188608696,144.97180082031525,Apartment/Unit/Flat,2,2,2,7800.0,1300.0
"4/479 Elizabeth Street, Melbourne VIC 3000",-37.803263722458475,144.9581722024521,Apartment/Unit/Flat,2,2,1,4128.0,950.0
"1008/620 Collins Street, Melbourne VIC 3000",-37.81866625,144.9543683,Apartment/Unit/Flat,2,1,1,3150.0,725.0
"CS 3007/119 A'Beckett Street, Melbourne VIC 3000",-37.8096163,144.9602788,Carspace,0,1,1,261.0,
"442 Elizabeth Street, Melbourne VIC 3000",-37.803263722458475,144.9581722024521,Carspace,0,1,1,239.0,
"311/422 Collins Street, Melbourne VIC 3000",-37.81679715,144.9600304018269,Apartment/Unit/Flat,1,1,0,2151.0,495.0
"1503/333 Exhibition Street, Melbourne VIC 3000",-37.813035197536585,144.97110371772916,Apartment/Unit/Flat,2,2,0,3368.0,775.0
"333 Exhibition Street, Melbourne VIC 3000",-37.813035197536585,144.97110371772916,Apartment/Unit/Flat,1,1,1,2390.0,550.0
"4506R/33 Rose Lane, Melbourne VIC 3000",-37.8151054,144.95382108260804,Apartment/Unit/Flat,1,1,0,2694.0,620.0
"Unit 6001/442 Elizabeth St, Melbourne VIC 3000",-37.81567540794008,144.9637477543807,Apartment/Unit/Flat,2,1,0,3129.0,720.0
"1601/27 Little Collins Street, Melbourne VIC 3000",-37.81595878145752,144.96109922714388,Apartment/Unit/Flat,1,1,0,2933.0,675.0
"1615/250 Elizabeth Street, Melbourne VIC 3000",-37.8124101,144.9625534,Apartment/Unit/Flat,1,1,0,2281.0,525.0
"210/422 Collins Street, Melbourne VIC 3000",-37.81679715,144.9600304018269,Apartment/Unit/Flat,1,1,0,2390.0,550.0
"1310/220 Spencer Street, Melbourne VIC 3000",-37.8156633,144.953010011169,Apartment/Unit/Flat,2,1,0,2998.0,690.0
"1007/118 Franklin Street, Melbourne VIC 3000",-37.80820875,144.95902042866936,Apartment/Unit/Flat,1,1,0,2499.0,575.0
"512/318 Little Bourke Street, Melbourne VIC 3000",-37.8129338,144.9631368,Apartment/Unit/Flat,2,1,0,2824.0,650.0
"1207/31 Spring Street, Melbourne VIC 3000",-37.80912053886953,144.97209817287765,Apartment/Unit/Flat,1,1,0,2173.0,500.0
"401/501 Little Collins Street, Melbourne VIC 3000",-37.81595878145752,144.96109922714388,Apartment/Unit/Flat,2,2,0,2800.0,700.0
"1002/39 Queen Street, Melbourne VIC 3000",-37.814582150961165,144.9604397220476,Apartment/Unit/Flat,2,1,0,2281.0,525.0
"1001/33 Mackenzie Street, Melbourne VIC 3000",-37.80763251227554,144.96637928894822,Apartment/Unit/Flat,2,1,0,2651.0,610.0
"707/225 Elizabeth Street, Melbourne VIC 3000",-37.7255336,144.9844562,Apartment/Unit/Flat,2,1,0,2824.0,650.0
"1310/442 Elizabeth Street, Melbourne VIC 3000",-37.803263722458475,144.9581722024521,Apartment/Unit/Flat,2,1,0,2868.0,660.0
"4213/22-24 Jane Bell Lane, Melbourne VIC 3000",-37.8103416,144.9655365,Apartment/Unit/Flat,2,2,2,3911.0,900.0
"2/6 Anthony Street, Melbourne VIC 3000",-37.809128495295596,144.95904961019158,Apartment/Unit/Flat,2,1,1,2694.0,620.0
"502N/889 Collins Street, Melbourne VIC 3000",-37.821186499999996,144.94186226006886,Apartment/Unit/Flat,1,1,0,2390.0,550.0
"3211/371 Little Lonsdale Street, Melbourne VIC 3000",-37.8117993,144.9610534,Apartment/Unit/Flat,2,2,0,3584.0,825.0
"1504/442 Elizabeth Street, Melbourne VIC 3000",-37.803263722458475,144.9581722024521,House,2,1,0,3259.0,750.0
"1611/25 Therry St, Melbourne VIC 3000",-37.807395832826614,144.95893747307127,Apartment/Unit/Flat,2,1,0,3259.0,750.0
"3/32 Bourke Street, Melbourne VIC 3000",-37.81166099635424,144.9717932337775,Apartment/Unit/Flat,1,1,0,2390.0,550.0
"3508/639 Lonsdale Street, Melbourne VIC 3000",-37.81533785,144.9537122918212,Apartment/Unit/Flat,2,1,0,2824.0,650.0
"909/33 MacKenzie St, Melbourne VIC 3000",-37.80763251227554,144.96637928894822,Apartment/Unit/Flat,2,1,0,3390.0,780.0
"38/88 Franklin St, Melbourne VIC 3000",-37.80750165676121,144.96241670445457,Apartment/Unit/Flat,2,1,1,2781.0,640.0
"1109/555 Flinders St, Melbourne VIC 3000",-37.8208754,144.9563438,Apartment/Unit/Flat,1,1,0,2130.0,490.0
"215/538 Little Lonsdale Street, Melbourne VIC 3000",-37.813579849999996,144.95324183501094,Apartment/Unit/Flat,3,1,1,3998.0,920.0
"701/39 Lonsdale Street, Melbourne VIC 3000",-37.81042007493952,144.968416157676,Apartment/Unit/Flat,2,1,0,2499.0,575.0
"307/300 Swanston Street, Melbourne VIC 3000",-37.810374,144.9653788,Apartment/Unit/Flat,1,1,1,2455.0,565.0
"203/68 Hayward Lane, Melbourne VIC 3000",-37.810200502588565,144.96736536154143,Studio,0,1,1,1955.0,450.0
